AKAZEdist_2023-03-09_11:05:54,000.png,00001.png,000010.png,000011.png,000012.png,000013.png,000014.png,000015.png,000016.png,000017.png,000018.png,000019.png,00002.png,000020.png,000021.png,000022.png,000023.png,000024.png,000025.png,000026.png,000027.png,000028.png,000029.png,00003.png,000030.png,000031.png,000032.png,000033.png,000034.png,000035.png,000036.png,000037.png,000038.png,000039.png,00004.png,000040.png,000041.png,000042.png,000043.png,000044.png,000045.png,000046.png,000047.png,000048.png,00005.png,00006.png,00007.png,00008.png,00009.png,01.png
000.png,0.0,101.02127659574468,82.19148936170212,148.61702127659575,84.46808510638297,120.19148936170212,72.8936170212766,84.80851063829788,144.29787234042553,108.06382978723404,109.02127659574468,70.76595744680851,135.4468085106383,72.8936170212766,127.44680851063829,110.34042553191489,80.61702127659575,83.80851063829788,140.89361702127658,158.12765957446808,84.63829787234043,183.31914893617022,151.7659574468085,84.19148936170212,147.4468085106383,169.46808510638297,89.8936170212766,78.76595744680851,95.04255319148936,159.51063829787233,107.27659574468085,88.36170212765957,129.85106382978722,159.4468085106383,75.87234042553192,160.17021276595744,153.2127659574468,124.63829787234043,77.76595744680851,105.48936170212765,180.25531914893617,75.59574468085107,73.61702127659575,92.36170212765957,86.04255319148936,104.44680851063829,137.5531914893617,124.65957446808511,156.04255319148936,123.12765957446808
00001.png,143.73333333333332,0.0,149.15,149.61666666666667,127.3,146.4,137.93333333333334,146.16666666666666,145.6,126.96666666666667,124.73333333333333,142.08333333333334,145.41666666666666,156.41666666666666,123.01666666666667,131.7,126.93333333333334,122.7,152.61666666666667,157.51666666666668,154.13333333333333,173.38333333333333,150.16666666666666,158.66666666666666,152.35,158.66666666666666,122.4,152.83333333333334,136.2,162.8,135.41666666666666,142.0,134.0,151.9,157.83333333333334,155.6,153.41666666666666,148.08333333333334,155.6,141.16666666666666,167.05,145.35,162.35,158.53333333333333,129.33333333333334,144.31666666666666,132.81666666666666,133.88333333333333,149.7,136.35
000010.png,80.91428571428571,103.72857142857143,0.0,148.18571428571428,73.24285714285715,125.21428571428571,70.48571428571428,77.65714285714286,141.18571428571428,112.58571428571429,97.08571428571429,74.51428571428572,127.42857142857143,72.44285714285714,118.15714285714286,115.05714285714286,71.91428571428571,78.2,131.77142857142857,157.02857142857144,72.62857142857143,175.6,147.5,76.6,141.9,158.38571428571427,80.0,67.72857142857143,92.08571428571429,154.04285714285714,78.21428571428571,69.48571428571428,112.21428571428571,152.12857142857143,78.75714285714285,149.6,147.77142857142857,115.24285714285715,77.72857142857143,100.85714285714286,166.61428571428573,74.87142857142857,75.52857142857142,73.75714285714285,87.5,86.68571428571428,133.25714285714287,131.37142857142857,150.84285714285716,127.68571428571428
000011.png,186.04787234042553,174.38297872340425,181.88829787234042,0.0,170.71808510638297,192.54255319148936,181.36702127659575,182.6968085106383,135.20212765957447,187.49468085106383,185.24468085106383,179.55851063829786,137.5531914893617,187.0159574468085,180.0,191.64893617021278,176.14361702127658,168.58510638297872,146.97340425531914,138.25531914893617,186.94148936170214,138.9468085106383,127.96808510638297,185.06382978723406,129.8404255319149,143.14893617021278,166.92021276595744,183.6968085106383,161.03191489361703,139.20744680851064,167.44148936170214,175.31914893617022,161.5159574468085,137.0372340425532,187.99468085106383,138.54787234042553,150.6595744680851,144.89361702127658,180.88829787234042,150.14893617021278,152.9468085106383,171.0744680851064,185.9840425531915,176.86702127659575,183.89361702127658,148.85106382978722,156.6755319148936,180.86170212765958,139.59574468085106,179.86170212765958
000012.png,97.4,105.05714285714286,93.88571428571429,140.72857142857143,0.0,120.35714285714286,96.48571428571428,92.94285714285714,132.15714285714284,95.24285714285715,100.52857142857142,82.05714285714286,133.14285714285714,106.14285714285714,120.22857142857143,107.71428571428571,84.37142857142857,72.3,141.5857142857143,152.74285714285713,103.71428571428571,171.52857142857144,140.4142857142857,116.97142857142858,138.55714285714285,160.02857142857144,84.11428571428571,111.45714285714286,103.68571428571428,152.37142857142857,86.97142857142858,71.12857142857143,118.8,148.71428571428572,112.27142857142857,153.04285714285714,156.52857142857144,125.07142857142857,98.72857142857143,120.48571428571428,168.72857142857143,97.62857142857143,108.42857142857143,116.34285714285714,75.9,105.35714285714286,137.5857142857143,121.32857142857142,143.0,123.14285714285714
000013.png,110.83333333333333,123.76666666666667,114.83333333333333,163.96666666666667,94.33333333333333,0.0,135.9,114.23333333333333,137.6,91.73333333333333,102.03333333333333,111.03333333333333,143.93333333333334,139.83333333333334,115.96666666666667,93.13333333333334,100.96666666666667,91.16666666666667,160.73333333333332,158.63333333333333,131.16666666666666,182.33333333333334,158.0,147.2,159.8,162.7,104.23333333333333,144.43333333333334,126.8,173.23333333333332,122.66666666666667,88.5,127.53333333333333,158.46666666666667,138.26666666666668,153.23333333333332,150.0,149.26666666666668,131.33333333333334,144.53333333333333,192.8,125.5,137.1,147.73333333333332,100.03333333333333,117.7,148.5,104.03333333333333,160.46666666666667,103.6
000014.png,73.62,105.56,75.02,145.88,82.6,130.76,0.0,76.68,143.66,119.22,111.18,56.82,130.92,64.14,131.84,120.56,75.32,75.86,138.36,155.98,69.22,177.24,145.26,72.58,141.7,162.78,82.52,65.1,97.6,154.42,93.78,80.56,124.74,156.0,68.16,153.72,150.4,121.36,69.54,99.94,176.12,67.16,64.32,75.88,85.26,95.8,136.66,131.74,153.76,127.12
000015.png,89.67647058823529,118.58823529411765,90.41176470588235,145.58823529411765,88.70588235294117,120.91176470588235,85.8529411764706,0.0,138.73529411764707,115.61764705882354,117.58823529411765,85.26470588235294,133.3235294117647,91.76470588235294,125.58823529411765,114.6470588235294,91.08823529411765,89.73529411764706,143.64705882352942,151.0,88.79411764705883,172.97058823529412,147.08823529411765,94.94117647058823,145.38235294117646,164.26470588235293,91.82352941176471,94.61764705882354,98.82352941176471,154.6764705882353,95.05882352941177,86.6470588235294,132.7941176470588,152.41176470588235,94.26470588235294,153.2941176470588,156.55882352941177,122.52941176470588,89.8529411764706,113.38235294117646,167.61764705882354,93.23529411764706,88.6470588235294,99.8529411764706,97.02941176470588,110.02941176470588,132.61764705882354,115.44117647058823,147.0,114.44117647058823
000016.png,184.16949152542372,168.180790960452,179.8135593220339,140.87570621468927,171.4632768361582,189.8135593220339,179.96610169491527,178.75141242937852,0.0,180.5536723163842,179.45197740112994,178.99435028248587,141.09604519774012,186.5593220338983,174.03389830508473,186.85310734463278,173.36723163841808,168.47457627118644,148.74576271186442,147.58757062146893,186.40112994350284,150.045197740113,143.36723163841808,183.68926553672316,144.15254237288136,145.954802259887,166.4632768361582,183.07909604519773,163.42937853107344,150.0225988700565,170.3728813559322,177.99435028248587,160.5593220338983,146.31073446327684,188.12994350282486,150.66666666666666,150.3050847457627,148.77401129943502,182.14689265536722,148.4915254237288,155.24858757062148,171.70056497175142,185.03954802259886,175.62146892655366,181.32203389830508,145.78531073446328,153.51977401129943,176.40112994350284,145.36723163841808,175.78531073446328
000017.png,107.39655172413794,112.20689655172414,130.5,151.58620689655172,83.67241379310344,112.12068965517241,133.77586206896552,121.56896551724138,145.94827586206895,0.0,100.20689655172414,108.75862068965517,151.1206896551724,147.10344827586206,116.32758620689656,76.32758620689656,96.29310344827586,92.51724137931035,153.86206896551724,155.25862068965517,140.60344827586206,186.10344827586206,155.29310344827587,153.91379310344828,158.67241379310346,171.20689655172413,102.1896551724138,147.89655172413794,127.03448275862068,165.94827586206895,120.44827586206897,95.82758620689656,137.86206896551724,156.6206896551724,146.79310344827587,157.77586206896552,154.29310344827587,149.9655172413793,142.8448275862069,148.27586206896552,181.94827586206895,136.82758620689654,150.8793103448276,155.58620689655172,85.08620689655173,125.62068965517241,143.9655172413793,104.05172413793103,152.1206896551724,101.32758620689656
